x,y,z
-42.612809,160.573689,0.971990
-145.857733,87.785847,0.359591
-253.289426,-121.489452,0.058553
112.868455,-34.210788,0.036781
-57.635821,115.954780,0.937540
-96.444270,-106.974140,0.576098
175.558735,180.622103,0.580209
-118.678976,7.595630,0.741338
125.567451,44.338425,0.283166
31.254395,-116.832652,0.891566
-5.597997,-185.878663,0.641014
39.674084,-34.675647,0.580664
25.473960,43.551054,0.478359
74.066503,81.484240,0.788335
24.527941,123.624749,0.340112
102.757974,45.391641,0.457729
84.637420,-39.067361,0.222398
-83.569476,-71.203901,0.443143
19.673501,-57.292139,0.972278
-154.293821,-46.128985,0.270189
-122.393481,-72.566464,0.017643
-40.854137,-40.415771,0.435547
-109.981838,78.035862,0.432487
-92.832355,59.529685,0.176727
152.833957,56.339264,0.370563
125.082987,39.137205,0.416475
-54.343890,-52.172116,0.756385
-90.767757,173.735724,0.611001
-53.229770,7.369033,0.193520
63.917505,129.729752,0.132609
135.230735,-100.253929,0.342560
-22.701279,98.484909,0.763497
-40.477573,15.218126,0.500831
175.626279,36.633233,0.943334
-17.288346,-10.054018,0.415873
140.402041,64.622842,0.932879
113.802670,-132.115112,0.837079
106.267182,-18.165932,0.564787
76.224757,-161.464171,0.651539
-83.500122,-73.941951,0.421088
-12.282027,79.660938,0.492668
-98.206037,-8.704056,0.640887
-33.294006,-108.069413,0.066619
-130.650915,-100.219515,0.691900
-52.048464,9.112438,0.758910
-65.131842,-58.574295,0.197711
4.612793,-22.584059,0.625111
161.955869,40.518165,0.135271
-90.597213,-89.987714,0.757370
-155.339450,-14.302036,0.610928
63.643194,-216.087542,0.926830
73.546265,-217.188934,0.641411
42.573527,-20.608251,0.043364
-124.309573,4.773391,0.890079
-25.779686,112.060245,0.913324
-37.038300,146.167960,0.465703
13.206193,-107.860640,0.166421
-27.093334,131.641982,0.149008
100.477346,-57.753649,0.631594
138.626545,-66.863793,0.341500
-20.730082,184.865015,0.041706
35.962010,-207.820991,0.495963
-236.779441,15.425641,0.423260
67.624497,174.957245,0.954115
-147.028968,2.053363,0.628811
-44.707650,111.369235,0.628562
33.643384,-105.524309,0.048190
-167.939694,-48.744942,0.808955
204.133827,14.025727,0.440771
-43.270727,-102.633097,0.763856
37.543239,36.740750,0.062810
11.779076,-8.392610,0.424943
-66.393520,-35.673383,0.493976
-32.174101,99.148643,0.008591
-35.213449,-53.276957,0.549284
-99.755083,38.987459,0.760655
-50.718533,18.578188,0.940838
27.373569,-4.692381,0.892141
-75.703349,-41.429324,0.970729
31.948488,81.792201,0.088919
-116.035903,113.424525,0.310681
41.770640,-37.627961,0.192292
39.536264,-326.631685,0.675559
29.900759,46.486792,0.350473
235.238060,-11.526137,0.239899
-77.342037,220.367970,0.060746
-3.120401,-126.353012,0.274775
110.106134,89.384902,0.740949
39.045962,-154.318176,0.301471
-2.975231,8.156116,0.551795
-26.026952,-131.372694,0.870615
8.502164,-105.399475,0.159906
58.055801,4.284367,0.863473
5.725809,67.831235,0.312183
-123.507539,22.699584,0.930587
75.431454,-143.936690,0.591784
113.488186,64.826090,0.090679
-104.963739,111.078744,0.419319
104.327362,38.423068,0.758479
30.313781,13.346986,0.771480
-106.400737,-96.007506,0.395444
-79.821667,-135.338002,0.438142
70.273942,-40.210633,0.734776
133.789886,-100.031708,0.459928
-105.905625,53.662020,0.648273
-220.732374,-121.312523,0.428829
126.295818,71.345256,0.861798
35.379866,136.278766,0.906836
-46.402228,69.276821,0.939456
246.924550,-175.908043,0.322284
41.904715,-31.492494,0.165899
100.681220,9.450515,0.575546
212.826673,148.309615,0.421659
157.672349,-207.071100,0.446821
-47.535978,-190.006154,0.445120
-164.979352,50.614477,0.886006
119.691973,107.288753,0.664645
-74.690331,3.731854,0.637870
82.783000,-146.838037,0.837062
-50.406821,79.058040,0.862514
-71.657834,-144.427533,0.363635
-24.526603,62.824305,0.804667
94.837107,-43.087347,0.716281
-3.513659,-5.977300,0.221853
217.743995,129.950669,0.860407
-36.427261,29.472550,0.346102
-60.661127,94.953939,0.199968
-142.764878,-33.716762,0.601082
19.905069,-26.828224,0.906533
