x,y,z
103.800621,-160.383305,0.345665
-205.459978,6.990736,0.176858
-23.965687,89.313874,0.593759
137.105262,-100.154006,0.724962
1.749015,94.330818,0.392714
-91.067844,17.184253,0.251031
-54.717809,-13.315225,0.830864
-28.300420,-115.956966,0.456910
81.308093,-101.290404,0.708902
-132.647281,46.860526,0.725632
-121.743354,19.401246,0.804848
-25.770471,12.460122,0.849838
131.421808,-8.064833,0.408615
9.028664,-96.078373,0.865594
-145.351097,-197.448248,0.468106
168.759307,-60.045874,0.458766
-57.453658,194.334606,0.505481
141.887330,98.711699,0.009999
-78.245537,-53.824566,0.752349
-13.120574,76.255561,0.833781
-78.421969,21.727417,0.628015
48.686046,74.963064,0.380841
49.545316,48.719304,0.323998
177.995684,-123.224977,0.076864
-199.136459,70.108569,0.610634
-66.624543,-185.154550,0.527935
-112.568251,-33.856848,0.171561
-35.860423,34.618810,0.359677
-73.164942,14.522412,0.080502
76.377912,20.088239,0.958878
-97.361985,-52.418495,0.742766
-10.564184,-23.264329,0.416054
-5.669725,-147.738839,0.164640
-33.776214,164.036069,0.137527
-41.726513,-171.487036,0.384004
-161.608130,61.525317,0.599732
-106.588082,-83.290051,0.723751
193.910191,132.347237,0.704660
6.036685,-120.402656,0.982384
34.241575,-139.703625,0.624719
20.738009,13.589191,0.618701
118.610543,-138.034002,0.180847
-87.756462,197.877537,0.932659
43.919843,64.602616,0.488609
-36.870283,54.502509,0.010482
-77.070444,-20.919273,0.351726
-141.717951,-58.213311,0.584719
-166.532449,-19.928448,0.686549
168.567931,-83.145341,0.545817
163.361111,-61.914467,0.324060
-70.949911,7.412433,0.886641
-153.170803,13.203328,0.969597
-82.346778,81.463561,0.684558
11.438687,32.053908,0.970908
-18.223198,57.351741,0.124887
87.514493,50.215285,0.025016
64.394626,165.336985,0.835155
-95.262342,-19.210137,0.296168
-64.808321,-139.310643,0.265472
24.393510,17.539590,0.750342
-73.789215,64.029442,0.718628
-232.491769,-86.999789,0.764649
86.847695,-7.885933,0.138424
72.172114,11.450927,0.200650
77.158010,-55.766641,0.953837
-158.147827,137.205973,0.684015
182.939552,129.292494,0.232339
-12.121246,254.915740,0.703219
134.057693,148.243637,0.490535
13.304534,260.915870,0.674121
15.794028,-5.324676,0.312332
68.666270,-126.529727,0.177648
-133.489239,159.283737,0.078571
25.704607,3.656011,0.520381
47.337998,98.103058,0.159710
23.652002,-61.670368,0.374513
-89.620720,-122.927510,0.323962
46.569908,60.752500,0.587621
60.575499,44.757833,0.218215
-34.892563,103.928429,0.818960
-4.157182,-15.941085,0.741256
-21.276442,55.893155,0.012970
-45.797891,-69.719738,0.262290
111.843505,-23.059057,0.735387
-20.652372,14.011473,0.237625
52.550437,-2.399051,0.620091
-64.109206,-18.114315,0.781553
-82.088997,53.911814,0.456970
-54.387228,62.176315,0.869566
117.855924,-46.386563,0.522387
-25.936136,-12.893085,0.227502
92.121991,212.413707,0.255735
2.293099,-52.847786,0.610962
19.903620,-16.462986,0.181373
35.158095,-60.542459,0.889689
29.233062,-96.335044,0.231369
92.500943,13.736013,0.409185
-45.608833,28.477626,0.062509
26.468402,139.477952,0.614737
-2.109793,21.055423,0.640705
-215.428376,-77.234367,0.246809
-151.116805,48.272080,0.108681
40.850150,83.990673,0.821342
-32.233357,20.108420,0.640586
-111.609954,-3.690649,0.504431
-120.412106,-22.675734,0.859528
156.876648,-151.948212,0.643064
32.208559,123.736370,0.957508
-68.375011,-69.252493,0.569332
43.669493,14.206095,0.124299
156.461653,-35.913506,0.663745
-59.413363,-8.357766,0.014165
-11.606752,104.040358,0.694867
86.115067,146.374629,0.475113
-104.855866,-60.107217,0.274260
79.970956,-1.482273,0.180291
-79.229219,-39.236425,0.726111
-169.243524,-67.538871,0.635053
54.062886,102.722797,0.155469
38.569244,-44.238572,0.203446
49.908717,-46.003677,0.448116
-170.077498,-6.845596,0.577722
134.007654,-11.734624,0.710794
-30.362366,-125.562893,0.366700
6.474292,-44.019001,0.113432
71.773778,120.005184,0.470263
-119.517304,-104.682287,0.145706
-53.587685,90.505646,0.920587
-16.894421,-4.758384,0.655860
-166.342142,27.417689,0.391935
-9.587314,-224.890626,0.326271
-12.977681,25.127290,0.131459
-30.672091,-132.844934,0.201848
-2.698156,-105.076855,0.298040
85.032334,101.343156,0.392492
-36.463670,-38.131017,0.350086
-75.576607,27.964596,0.225413
-19.140989,146.249357,0.000672
-30.099563,-34.878037,0.799505
155.223910,-67.417768,0.580338
-72.202226,-177.692694,0.507703
-22.545707,-115.831395,0.855811
129.477737,-126.611566,0.205885
-129.401722,-186.154818,0.285248
-72.582263,116.200419,0.197326
-77.888044,23.209031,0.726176
-46.800159,35.764109,0.308579
-53.604595,65.147352,0.180323
-81.072115,-96.009505,0.147919
-29.390728,34.342949,0.606716
117.258108,59.500056,0.155774
-92.801027,90.962247,0.936749
173.251386,15.945807,0.899419
28.610836,22.863605,0.118613
151.402685,39.402917,0.848735
65.536368,-73.225357,0.366902
17.877251,-108.774162,0.105940
-77.801248,-66.501457,0.491148
78.120314,38.011210,0.579552
29.117650,220.694567,0.764367
-76.131989,66.871886,0.808029
-122.251585,-56.149214,0.920873
155.005504,-222.744739,0.678767
37.364576,-120.977379,0.296562
-145.814553,21.003292,0.914955
-26.108970,-212.682970,0.147659
-205.901540,4.773038,0.753644
152.194927,-76.130507,0.632381
-39.071953,80.857536,0.711105
-220.863289,43.137742,0.517620
149.151977,-8.804832,0.767679
-18.814167,-91.183811,0.807802
79.536878,14.937326,0.216017
89.205833,49.485824,0.754950
-12.756180,5.144126,0.785179
205.307887,53.237732,0.193834
-42.697463,-133.979676,0.627761
60.898205,-156.489276,0.571917
88.016001,-18.087112,0.836258
58.312534,-31.016432,0.016194
-80.213516,-168.353372,0.356459
-79.468636,55.286968,0.794325
146.669596,-18.410782,0.576349
-51.260881,-24.577627,0.698588
-26.720944,100.760323,0.962518
117.949786,-69.159510,0.631119
-157.410114,-22.505859,0.861269
128.599327,44.269317,0.512974
54.408140,-103.588012,0.234795
16.224964,132.554322,0.137588
-42.069713,40.078557,0.574042
42.185270,-17.630470,0.350517
30.786140,66.079013,0.445735
116.805292,11.214258,0.568441
0.954658,18.403313,0.460362
-59.786146,-212.376161,0.881192
-175.327615,28.923016,0.451284
-185.277796,-46.487577,0.149228
211.236692,-40.160222,0.354447
14.442366,94.804309,0.318227
-9.004563,107.019904,0.365913
77.536589,9.607967,0.610351
-90.020377,-111.961225,0.622862
-104.687830,228.433187,0.767736
8.830818,132.981531,0.024770
93.912912,150.522299,0.246278
-131.405994,81.502156,0.164731
-14.551589,-73.582916,0.680665
45.786828,-62.724645,0.112208
-11.567711,18.882983,0.375726
-132.447174,17.108728,0.424662
26.180123,71.373681,0.790634
-27.136460,27.675598,0.089972
76.084155,32.173905,0.745156
-78.942446,15.645519,0.316135
-95.961427,-206.490251,0.651533
-27.109037,8.154351,0.107710
-69.397975,22.454681,0.557171
-43.269164,43.806802,0.993753
-31.048647,12.034544,0.401882
-84.817172,-40.182830,0.717331
-85.829834,67.712405,0.578074
92.519421,16.040657,0.242475
52.836516,178.955797,0.761164
-35.851296,35.324511,0.844333
8.404117,-29.880697,0.580220
93.788276,146.952192,0.589981
120.411282,-65.360845,0.291375
40.526190,34.467943,0.005900
-2.283592,84.966538,0.395084
-100.974265,10.242766,0.292683
-33.537777,-73.218108,0.480258
-62.905701,67.335047,0.015800
-127.996248,-4.658071,0.213362
-87.296625,-43.793461,0.798084
84.798612,-86.046020,0.988122
-132.917410,-45.029580,0.133248
88.396003,16.667614,0.996755
-108.796082,61.509265,0.191448
119.216548,111.337856,0.829435
77.601470,-164.733131,0.013768
-10.979890,76.076769,0.693993
-210.281564,163.355731,0.925817
46.069082,124.310627,0.829266
0.305143,82.428157,0.483291
53.953396,39.184837,0.025324
66.632624,-160.044914,0.212944
25.500421,21.233549,0.750566
-8.887409,-155.684722,0.463929
5.762048,69.865523,0.817695
245.556927,5.439337,0.921652
-1.085243,-2.814114,0.788832
24.559409,30.387710,0.450650
-41.254633,76.717189,0.741169
-69.597631,-89.262395,0.751973
57.715389,70.488275,0.397784
-130.363571,38.074526,0.155069
26.987053,141.865583,0.690623
-185.302258,92.855503,0.017603
55.078384,-166.053315,0.217814
-7.190492,151.478419,0.224216
138.841861,-73.958084,0.250810
-22.227833,55.457572,0.762812
72.045920,73.759571,0.332937
80.840997,-197.982445,0.709559
-170.023097,201.756859,0.071444
51.002768,-21.031808,0.590440
159.590398,-105.732006,0.277910
103.736864,-95.790138,0.047489
-134.564887,-59.022035,0.927616
-17.522899,79.167320,0.398847
159.234159,200.426832,0.511446
-78.424177,37.033044,0.358898
35.569612,67.875977,0.955647
-34.164951,-92.070571,0.489301
-106.737767,-59.753248,0.694552
-107.947915,104.889870,0.720175
-61.175816,-203.765175,0.303443
35.836447,49.643285,0.273670
130.337838,156.832752,0.583231
60.707150,-83.254319,0.798957
-0.865635,-17.866407,0.742321
-75.859814,209.402962,0.215858
117.560352,62.611593,0.989760
-52.376803,96.771268,0.524629
-84.644234,-14.380986,0.575445
33.284697,-109.618372,0.532586
-131.423468,-50.781259,0.486041
99.162159,59.960848,0.917701
45.875085,117.973089,0.865981
-139.669082,196.663156,0.923946
9.322222,-26.983204,0.402887
59.586998,-81.287248,0.894103
-40.355185,176.812625,0.964761
-23.402450,180.479136,0.662651
178.482789,-46.841166,0.572731
-67.990796,156.821364,0.750665
-215.237947,-26.112443,0.537124
-64.334487,127.368386,0.837380
-11.692379,-106.586306,0.695142
-5.036845,43.249059,0.256012
70.099926,-21.926726,0.783806
6.554927,-185.052867,0.990507
-144.585738,92.911617,0.866378
39.109793,120.013950,0.140129
-151.064073,-1.306807,0.326686
65.973148,105.010537,0.298294
-77.868397,-38.630745,0.559402
109.168386,-115.784780,0.916373
-180.941495,80.029610,0.903950
89.697092,34.517168,0.998186
81.416160,85.800513,0.121166
10.671807,81.826253,0.822019
-36.507047,-78.409003,0.127296
151.984502,-3.538539,0.737868
32.143875,29.013480,0.887849
-118.075091,165.289444,0.129425
82.047658,-54.652512,0.762697
-56.020557,-248.370591,0.446249
-107.874041,104.668384,0.146330
57.833822,-81.716198,0.348322
18.119901,22.490620,0.228522
-26.157976,73.755117,0.748002
-13.884430,189.515733,0.225365
-59.530490,-83.226417,0.504903
-7.007934,-44.471210,0.056722
-92.042770,67.335434,0.487942
-274.352659,-20.080927,0.358568
-12.099184,62.580517,0.617894
-45.928988,-67.555852,0.050022
-177.455796,17.411082,0.136707
-65.980405,140.223849,0.977080
44.890448,-8.622287,0.295643
-34.274084,136.023538,0.718375
-22.874696,-109.849015,0.622522
-109.455589,134.534423,0.415959
60.444075,-32.983495,0.456002
-102.045122,96.804637,0.380605
22.193115,122.933566,0.624041
-19.960897,177.784423,0.262536
187.016615,21.870138,0.424497
110.742725,-112.149697,0.511320
-151.475653,97.076814,0.641327
95.629009,-97.077117,0.520278
54.800592,90.807767,0.657707
112.222053,181.300422,0.477577
-180.723229,-114.924178,0.105880
-108.846292,-67.567424,0.797365
25.441090,-272.050184,0.995415
73.108940,65.356154,0.893748
104.140949,-173.152174,0.984134
125.021524,-126.187167,0.587478
68.152091,-29.521614,0.878005
52.842705,69.976155,0.445687
-122.491088,-73.036668,0.330185
113.785698,-118.717098,0.831679
35.525344,99.111862,0.831416
7.846164,-36.047856,0.609121
35.336866,-89.633204,0.421940
61.954556,-37.661845,0.022917
17.574555,108.918998,0.750036
14.839282,-94.127587,0.406514
-13.070518,-56.522638,0.695267
-250.480215,-56.094785,0.149525
161.577042,13.379452,0.376960
-25.033662,-50.477944,0.743384
6.707592,57.541875,0.013971
-6.437496,-119.517152,0.109385
-247.078141,28.872553,0.348207
-95.084663,25.419368,0.943166
89.711298,-60.866213,0.223600
-15.652424,2.591901,0.840526
112.870363,117.238457,0.392092
280.184887,-123.630161,0.267120
0.124455,83.921352,0.228444
133.518393,75.250788,0.649218
107.501027,25.642816,0.306438
-50.142153,-37.095809,0.632653
-2.377660,115.555058,0.702183
-175.909312,-101.937013,0.283130
55.290454,30.923515,0.888377
-36.443961,79.916036,0.120437
0.860665,167.906320,0.490835
204.331769,-16.691892,0.162109
12.291980,121.657730,0.811274
-139.079918,121.995501,0.671194
-64.433143,57.588585,0.719836
-1.271803,78.121523,0.261705
50.177126,-172.475049,0.856333
59.008079,164.632650,0.012893
53.321174,21.908745,0.861214
-10.361099,107.627614,0.853624
16.885339,-78.282566,0.921960
-64.728647,-23.404785,0.943972
-8.189093,86.859190,0.468390
-123.932935,62.977828,0.221403
-46.214615,-19.841615,0.485190
-54.416981,-92.608828,0.666044
51.186315,127.036356,0.447938
84.381142,170.961507,0.989154
-81.536453,-144.759170,0.772735
-59.984040,80.377321,0.435771
-83.200116,-58.755289,0.104165
49.979222,52.771955,0.443247
68.815033,-76.962838,0.976150
179.282659,-273.512729,0.274442
-51.396119,175.547675,0.981403
-50.778933,54.328808,0.611734
62.033171,-45.684879,0.353834
11.399918,-26.566786,0.152996
66.631632,135.946965,0.253653
19.966403,-52.112611,0.157680
-91.804959,-124.083834,0.990891
53.981998,-20.883754,0.407422
66.813617,-31.098313,0.583985
-13.327603,-122.802966,0.912961
18.306213,26.606675,0.051002
-295.722677,-233.561670,0.790210
-108.814271,-24.468926,0.709604
124.589456,8.528211,0.036843
49.450007,31.204942,0.827941
99.954449,-24.982574,0.980642
122.922006,-137.890723,0.089232
-13.824718,-125.567903,0.624684
-16.022653,-140.595504,0.389380
-58.718316,0.488724,0.625734
52.969735,189.722818,0.915402
-137.951302,12.166758,0.357572
-51.596378,-102.518589,0.557839
-19.576626,114.960260,0.005580
113.242858,-0.090657,0.591307
90.461840,64.604814,0.451096
66.628493,57.974903,0.152306
131.068771,-176.543679,0.492164
24.692989,-177.324383,0.440289
-111.369647,177.748446,0.264592
-42.069147,-136.383999,0.046129
-74.032321,-31.175076,0.548489
131.324933,-110.126667,0.166805
-74.494806,-105.704904,0.043114
105.802592,93.737778,0.983922
118.990222,-62.079237,0.827983
109.849811,-179.354301,0.576718
9.548469,-119.368717,0.451064
154.748592,-48.859751,0.795191
274.800050,69.831942,0.345927
5.274508,-52.732073,0.974135
-53.092338,68.776220,0.901815
-37.093186,-127.223996,0.319441
-110.702565,-25.849004,0.324530
-4.357371,-65.703000,0.645278
4.208711,-22.291894,0.402023
-106.189776,-8.538768,0.509653
60.487505,43.485078,0.324440
-35.812856,47.372055,0.253458
57.804191,-18.223449,0.329625
98.252044,-86.447509,0.340246
-85.678639,77.605210,0.839826
81.268357,-10.170358,0.361042
-24.775727,211.655685,0.847635
67.167945,223.926105,0.219316
84.126520,-27.099247,0.856174
-8.798259,-52.928463,0.778434
153.884590,-54.883880,0.554104
76.889876,47.799224,0.254381
-30.856243,-12.784644,0.657957
89.267162,-44.193164,0.529021
-54.158909,115.961677,0.170157
-98.121855,60.151636,0.097882
-82.122922,72.679055,0.452260
26.151612,-104.824821,0.092999
36.860709,-162.133741,0.917534
-50.325093,-97.365595,0.031017
6.242194,150.023223,0.068599
-24.237929,-47.480539,0.043516
71.338013,-71.015253,0.668573
-230.250777,39.312724,0.436989
102.521987,90.257029,0.101938
-159.340989,236.884774,0.763851
110.999662,-107.276589,0.308308
70.309629,51.909012,0.121368
-66.339797,99.103766,0.384363
33.566365,21.222413,0.203300
-21.416644,23.684989,0.929505
121.299564,-38.344128,0.097003
6.817601,0.526683,0.501168
14.173571,64.929491,0.176665
-80.685988,23.476178,0.971992
-24.547502,-37.192028,0.168620
-145.899900,97.681866,0.310314
-128.348001,-104.911023,0.366330
-15.214909,166.916617,0.429974
37.403162,-36.431999,0.251061
91.820115,333.232152,0.396666
89.506935,148.480431,0.593986
-51.779236,49.870298,0.151596
37.257477,165.975416,0.981529
93.395074,75.033332,0.530280
-179.079027,-122.561457,0.948293
-16.553512,-34.159292,0.925720
110.780522,-5.119592,0.508561
116.807562,36.075708,0.222286
-220.292186,-20.009358,0.047207
-131.782667,-95.815446,0.002633
74.064693,-7.002478,0.249460
241.705875,201.800870,0.246342
13.014645,212.321833,0.614734
127.100482,-78.465759,0.577377
-142.686130,158.162868,0.880317
31.242220,10.693267,0.511002
120.025039,-35.944791,0.089203
136.777686,-48.985081,0.930862
99.017027,-108.906918,0.735707
30.918289,19.498858,0.759855
-1.217647,184.086952,0.176361
36.456055,79.411998,0.356144
143.527068,98.716389,0.098267
-19.129779,118.546136,0.433430
-134.292492,91.384583,0.577911
69.056368,80.641991,0.942844
-41.550371,53.073881,0.203048
-16.175911,-50.604198,0.683542
-34.004941,-28.849349,0.168575
254.260582,123.605372,0.748553
-87.679375,172.635761,0.095551
79.490338,19.703218,0.199771
-32.615438,-100.062185,0.429860
61.470807,70.334396,0.171977
95.037298,63.676845,0.465259
93.340783,8.184449,0.829823
-23.267152,-52.464933,0.935531
58.800342,112.008460,0.837792
-13.662933,-24.343457,0.034805
119.270623,-171.686772,0.135717
-198.615670,-39.106977,0.049421
40.725831,-91.641052,0.705482
39.099875,-27.658036,0.230362
-86.059039,-255.302587,0.408791
100.132108,-58.028467,0.027316
-56.612911,-83.346966,0.439834
16.267980,-128.857768,0.344460
-96.437822,-8.227001,0.722454
52.457885,-42.201889,0.066464
3.313809,64.519037,0.647673
56.900791,-23.753680,0.861712
15.174832,68.368337,0.967641
0.219463,-82.951350,0.450279
-82.036518,-72.474845,0.295629
45.424294,171.461266,0.292439
99.529468,197.125412,0.767337
51.024965,-102.798882,0.490531
-36.051495,0.087048,0.192002
-99.485498,-17.640201,0.195927
24.727367,-138.638240,0.541409
-9.305658,-198.548485,0.229560
32.625046,-195.799730,0.174261
-7.671206,150.646126,0.678728
42.169510,-58.547150,0.922946
-73.834959,-34.125292,0.702990
89.389230,44.631950,0.177350
60.934258,83.461316,0.063573
128.787845,-2.385443,0.657536
-60.727028,93.903520,0.692207
26.326845,131.279034,0.462139
64.875724,74.408515,0.013285
149.147172,-108.704487,0.993464
